id_aktor_film,id_film,id_aktor
301,10001,20001
302,10001,20002
303,10001,20003
304,10001,20004
305,10002,20005
306,10002,20006
307,10002,20007
308,10002,20008
309,10003,20009
310,10003,20010
311,10003,20011
312,10003,20012
313,10004,20013
314,10004,20014
315,10004,20015
316,10004,20016
317,10005,20017
318,10005,20018
319,10005,20004
320,10005,20019
321,10006,20020
322,10006,20021
323,10006,20022
324,10006,20023
325,10006,20024
326,10007,20025
327,10007,20026
328,10007,20027
329,10007,20028
330,10008,20029
331,10008,20030
332,10008,20031
333,10008,20032
334,10009,20033
335,10009,20034
336,10009,20035
337,10009,20036
338,10010,20037
339,10010,20034
340,10010,20039
341,10010,20017
342,10011,20038
343,10011,20040
344,10011,20041
345,10011,20042
346,10012,20043
347,10012,20044
348,10012,20045
349,10012,20046
350,10012,20047
351,10013,20040
352,10013,20048
353,10013,20049
354,10013,20050
355,10014,20048
356,10014,20049
357,10014,20050
358,10014,20051
359,10015,20052
360,10015,20053
361,10015,20054
362,10015,20055
363,10016,20021
364,10016,20020
365,10016,20037
366,10016,20056
367,10017,20029
368,10017,20057
369,10017,20052
370,10017,20058
371,10018,20059
372,10018,20060
373,10018,20061
374,10018,20062
375,10019,20063
376,10019,20059
377,10019,20005
378,10019,20060
379,10019,20062
380,10020,20034
381,10020,20065
382,10020,20066
383,10020,20067
384,10021,20068
385,10021,20069
386,10021,20070
387,10021,20025
388,10022,20053
389,10022,20071
390,10022,20060
391,10022,20072
392,10023,20073
393,10023,20020
394,10023,20074
395,10023,20075
396,10024,20076
397,10024,20040
398,10024,20038
399,10024,20042
400,10024,20077
401,10025,20038
402,10025,20040
403,10025,20078
404,10025,20045
405,10026,20106
406,10026,20107
407,10026,20108
408,10026,20059
409,10027,20040
410,10027,20109
411,10027,20110
412,10027,20111
413,10028,20053
414,10028,20071
415,10028,20079
416,10028,20112
417,10029,20106
418,10029,20108
419,10029,20113
420,10029,20012
421,10030,20114
422,10030,20115
423,10030,20116
424,10030,20117
425,10031,20040
426,10031,20118
427,10031,20119
428,10031,20120
429,10032,20071
430,10032,20053
431,10032,20022
432,10032,20010
433,10032,20080
434,10032,20081
435,10032,20079
436,10032,20082
437,10032,20083
438,10034,20084
439,10034,20085
440,10034,20086
441,10034,20026
442,10034,20087
443,10035,20088
444,10035,20089
445,10035,20036
446,10035,20091
447,10036,20029
448,10036,20090
449,10036,20092
450,10036,20093
451,10037,20065
452,10037,20057
453,10037,20094
454,10037,20095
455,10038,20096
456,10038,20097
457,10038,20026
458,10038,20098
459,10039,20087
460,10039,20099
461,10039,20100
462,10039,20101
463,10039,20102
464,10040,20103
465,10040,20104
466,10040,20105
467,10040,20147
468,10041,20053
469,10041,20085
470,10041,20121
471,10042,20099
472,10042,20122
473,10042,20123
474,10043,20124
475,10043,20125
476,10043,20095
477,10043,20082
478,10043,20126
479,10044,20038
480,10044,20053
481,10044,20077
482,10044,20127
483,10044,20027
484,10045,20128
485,10045,20009
486,10045,20010
487,10045,20026
488,10045,20086
489,10046,20129
490,10046,20130
491,10046,20131
492,10046,20132
493,10046,20133
494,10047,20134
495,10047,20135
496,10047,20136
497,10047,20137
498,10048,20138
499,10048,20139
500,10048,20140
501,10048,20141
502,10049,20142
503,10049,20143
504,10049,20144
505,10049,20145
506,10050,20039
507,10050,20086
508,10050,20069
509,10050,20146
