id film,Id_Sutradara,Nama_Sutradara,tahun_rilis
10001,30001,Muhadkly Acho,-2024
10002,30002,Fajar Nugros,-2023
10003,30003,Joko Anwar,-2017
10004,30004,Wregas Bhanuteja,-2021
10005,30005,Bene Dion Rajagukguk,-2022
10006,30006,Yandy Laurens,-2023
10007,30007,Upi Avianto,-2022
10008,30008,Hanung Bramantyo,-2022
10009,30009,Angga Dwimas Sasongko,-2022
10010,30010,Gina S. Noer,-2019
10011,30011,Rudy Soedjarwo,-2002
10012,30005,Bene Dion Rajagukguk,-2023
10013,30011,Rudy Soedjarwo,-2022
10014,30012,Kamila Andini,-2021
10015,30013,Ernest Prakasa,-2019
10016,30006,Yandy Laurens,-2018
10017,,Rako Prijanto,-2022
10018,30013,Ernest Prakasa,-2016
10019,30013,Ernest Prakasa,-2022
10020,30010,Gina S. Noer,-2021
10021,30014,Rizal Mantovani,-2012
10022,30007,Upi Avianto,-2019
10023,30015,Herwin Novianto,-2023
10024,30016,Riri Riza,-2016
10025,30017,Edwin,-2018
10026,30005,Bene Dion Rajagukguk,(II) (2019)
10027,30016,Riri Riza,-2005
10028,30018,Faozan Rizal,-2012
10029,30001,Muhadkly Acho,-2022
10030,30002,Fajar Nugros,-2018
10031,30003,Joko Anwar,-2005
10032,30007,Upi Avianto,2016
10033,30009,Angga Dwimas Sasongko,-2016
10034,30019,Thoersi Argeswara,-2018
10035,30015,Herwin Novianto,-2020
10036,30026,Anggy Umbara,-2020
10037,30017,Edwin,-2017
10038,30003,Joko Anwar,-2007
10039,30018,Faozan Rizal,-2020
10040,30020,Rano Karno,2020
10041,30021,Benni Setiawan,2023
10042,30022,Awi Suryadi,2022
10043,30009,Angga Dwimas Sasongko,2023
10044,30008,Hanung bramantio,2017
10045,30003,Joko Anwar,2019
10046,30023,Hadrah Daeng Ratu,2020
10047,30024,Archie Hekagery,2019
10048,30025,Garin Nugroho,2018
10049,30026,Anggy Umbara,2023
10050,30027,Ody C Harahap,2019
10051,30017,Edwin,2017
10052,30027,Azhar Kinoi Lubis,2020
